lambdacoll,Tcoll,lambda22deg,T22deg,lambda3deg,T3deg
649.0,7.29e-07,649.0,0.0642,649.0,8.13e-07
649.0069011,7.34e-07,649.0069011,0.0646,649.0069011,8.18e-07
649.0138022,7.39e-07,649.0138022,0.0649,649.0138022,8.23e-07
649.0207033,7.43e-07,649.0207033,0.0653,649.0207033,8.2866e-07
649.0276043,7.48e-07,649.0276043,0.0657,649.0276043,8.3408e-07
649.0345054,7.53e-07,649.0345054,0.066,649.0345054,8.3953e-07
649.0414065,7.58e-07,649.0414065,0.0664,649.0414065,8.4503e-07
649.0483076,7.63e-07,649.0483076,0.0668,649.0483076,8.5056e-07
649.0552087,7.67e-07,649.0552087,0.0671,649.0552087,8.5614e-07
649.0621098,7.72e-07,649.0621098,0.0675,649.0621098,8.6176e-07
649.0690108,7.77e-07,649.0690108,0.0678,649.0690108,8.6742e-07
649.0759119,7.82e-07,649.0759119,0.0682,649.0759119,8.7312e-07
649.082813,7.87e-07,649.082813,0.0686,649.082813,8.7887e-07
649.0897141,7.92e-07,649.0897141,0.0689,649.0897141,8.8466e-07
649.0966152,7.97e-07,649.0966152,0.0693,649.0966152,8.905e-07
649.1035163,8.02e-07,649.1035163,0.0696,649.1035163,8.9637e-07
649.1104174,8.08e-07,649.1104174,0.07,649.1104174,9.023e-07
649.1173184,8.13e-07,649.1173184,0.0704,649.1173184,9.0826e-07
649.1242195,8.18e-07,649.1242195,0.0707,649.1242195,9.1428e-07
649.1311206,8.23e-07,649.1311206,0.0711,649.1311206,9.2033e-07
649.1380217,8.29e-07,649.1380217,0.0714,649.1380217,9.2644e-07
649.1449228,8.34e-07,649.1449228,0.0718,649.1449228,9.3259e-07
649.1518239,8.39e-07,649.1518239,0.0721,649.1518239,9.3879e-07
649.1587249,8.45e-07,649.1587249,0.0725,649.1587249,9.4503e-07
649.165626,8.5e-07,649.165626,0.0728,649.165626,9.5132e-07
649.1725271,8.56e-07,649.1725271,0.0731,649.1725271,9.5766e-07
649.1794282,8.61e-07,649.1794282,0.0735,649.1794282,9.6405e-07
649.1863293,8.67e-07,649.1863293,0.0738,649.1863293,9.7049e-07
649.1932304,8.72e-07,649.1932304,0.0742,649.1932304,9.7697e-07
649.2001314,8.78e-07,649.2001314,0.0745,649.2001314,9.8351e-07
649.2070325,8.84e-07,649.2070325,0.0748,649.2070325,9.901e-07
649.2139336,8.9e-07,649.2139336,0.0752,649.2139336,9.9673e-07
649.2208347,8.95e-07,649.2208347,0.0755,649.2208347,1.00342e-06
649.2277358,9.01e-07,649.2277358,0.0759,649.2277358,1.01016e-06
